path,name,budget
/US FEDERAL GOVERNMENT/[budget] Securities and Exchange Commission (449)/[budget] Securities and Exchange Commission (449-0),[budget] Securities and Exchange Commission (449-0),"{'budget_level': 'bureau', 'agency_code': 449, 'agency_name': 'Securities and Exchange Commission', 'bureau_code': 0, 'bureau_name': 'Securities and Exchange Commission', '2019': 369000, '2020': -533000, '2021': 495000, '2022': 775000, '2023': 736000, '2024': 377000, 'name': 'Securities and Exchange Commission', 'id': '449-0'}"
/US FEDERAL GOVERNMENT/[budget] Securities and Exchange Commission (449)/[budget] Securities and Exchange Commission (449-0)/[budget] Securities and Exchange Commission Reserve (449-0-5566),[budget] Securities and Exchange Commission Reserve (449-0-5566),"{'budget_level': 'account', 'agency_code': 449, 'agency_name': 'Securities and Exchange Commission', 'bureau_code': 0, 'bureau_name': 'Securities and Exchange Commission', 'account_code': 5566, 'account_name': 'Securities and Exchange Commission Reserve', '2019': 56000, '2020': 65000, '2021': 59000, '2022': 55000, '2023': 50000, '2024': 50000, 'name': 'Securities and Exchange Commission Reserve', 'id': '449-0-5566'}"
/US FEDERAL GOVERNMENT/[budget] Public Buildings Reform Board (290),[budget] Public Buildings Reform Board (290),"{'budget_level': 'agency', 'agency_code': 290, 'agency_name': 'Public Buildings Reform Board', '2019': 0, '2020': 2000, '2021': 3000, '2022': 2000, '2023': 4000, '2024': 4000, 'name': 'Public Buildings Reform Board', 'id': '290'}"
/US FEDERAL GOVERNMENT/[budget] Public Buildings Reform Board (290)/[budget] Public Buildings Reform Board (290-0),[budget] Public Buildings Reform Board (290-0),"{'budget_level': 'bureau', 'agency_code': 290, 'agency_name': 'Public Buildings Reform Board', 'bureau_code': 0, 'bureau_name': 'Public Buildings Reform Board', '2019': 0, '2020': 2000, '2021': 3000, '2022': 2000, '2023': 4000, '2024': 4000, 'name': 'Public Buildings Reform Board', 'id': '290-0'}"
/US FEDERAL GOVERNMENT/[budget] National Mediation Board (421),[budget] National Mediation Board (421),"{'budget_level': 'agency', 'agency_code': 421, 'agency_name': 'National Mediation Board', '2019': 13000, '2020': 12000, '2021': 13000, '2022': 13000, '2023': 19000, '2024': 16000, 'name': 'National Mediation Board', 'id': '421'}"
/US FEDERAL GOVERNMENT/[budget] National Mediation Board (421)/[budget] National Mediation Board (421-0),[budget] National Mediation Board (421-0),"{'budget_level': 'bureau', 'agency_code': 421, 'agency_name': 'National Mediation Board', 'bureau_code': 0, 'bureau_name': 'National Mediation Board', '2019': 13000, '2020': 12000, '2021': 13000, '2022': 13000, '2023': 19000, '2024': 16000, 'name': 'National Mediation Board', 'id': '421-0'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6),[budget] Department of Commerce (6),"{'budget_level': 'agency', 'agency_code': 6, 'agency_name': 'Department of Commerce', '2019': 11323000, '2020': 15916000, '2021': 13135000, '2022': 11733000, '2023': 15843000, '2024': 20318000, 'name': 'Department of Commerce', 'id': '6'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Economic Development Administration (6-6),[budget] Economic Development Administration (6-6),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 6, 'bureau_name': 'Economic Development Administration', '2019': 264000, '2020': 352000, '2021': 791000, '2022': 935000, '2023': 1527000, '2024': 2081000, 'name': 'Economic Development Administration', 'id': '6-6'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Departmental Management (6-5),[budget] Departmental Management (6-5),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 5, 'bureau_name': 'Departmental Management', '2019': 106000, '2020': 97000, '2021': 153000, '2022': 136000, '2023': 365000, '2024': 199000, 'name': 'Departmental Management', 'id': '6-5'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Departmental Management (6-5)/[budget] Office of the Inspector General (6-5-126),[budget] Office of the Inspector General (6-5-126),"{'budget_level': 'account', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 5, 'bureau_name': 'Departmental Management', 'account_code': 126, 'account_name': 'Office of the Inspector General', '2019': 33000, '2020': 40000, '2021': 47000, '2022': 47000, '2023': 64000, '2024': 61000, 'name': 'Office of the Inspector General', 'id': '6-5-126'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Institute of Standards and Technology (6-55),[budget] National Institute of Standards and Technology (6-55),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 55, 'bureau_name': 'National Institute of Standards and Technology', '2019': 1025000, '2020': 1046000, '2021': 1116000, '2022': 1238000, '2023': 1896000, '2024': 3629000, 'name': 'National Institute of Standards and Technology', 'id': '6-55'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Institute of Standards and Technology (6-55)/[budget] Creating Helpful Incentives to Produce Semiconductors (CHIPS) Loan Program (6-55-521),[budget] Creating Helpful Incentives to Produce Semiconductors (CHIPS) Loan Program (6-55-521),"{'budget_level': 'account', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 55, 'bureau_name': 'National Institute of Standards and Technology', 'account_code': 521, 'account_name': 'Creating Helpful Incentives to Produce Semiconductors (CHIPS) Loan Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 109000, '2024': 436000, 'name': 'Creating Helpful Incentives to Produce Semiconductors (CHIPS) Loan Program', 'id': '6-55-521'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Technical Information Service (6-54),[budget] National Technical Information Service (6-54),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 54, 'bureau_name': 'National Technical Information Service', '2019': 0, '2020': 0, '2021': -3000, '2022': -1000, '2023': 5000, '2024': 5000, 'name': 'National Technical Information Service', 'id': '6-54'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Oceanic and Atmospheric Administration (6-48),[budget] National Oceanic and Atmospheric Administration (6-48),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 48, 'bureau_name': 'National Oceanic and Atmospheric Administration', '2019': 5332000, '2020': 5739000, '2021': 5826000, '2022': 6269000, '2023': 7480000, '2024': 8746000, 'name': 'National Oceanic and Atmospheric Administration', 'id': '6-48'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Bureau of Economic Analysis (6-8),[budget] Bureau of Economic Analysis (6-8),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 8, 'bureau_name': 'Bureau of Economic Analysis', '2019': 104000, '2020': 107000, '2021': 107000, '2022': 112000, '2023': 130000, '2024': 152000, 'name': 'Bureau of Economic Analysis', 'id': '6-8'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Bureau of the Census (6-7),[budget] Bureau of the Census (6-7),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 7, 'bureau_name': 'Bureau of the Census', '2019': 2528000, '2020': 6666000, '2021': 3025000, '2022': 1618000, '2023': 2208000, '2024': 1659000, 'name': 'Bureau of the Census', 'id': '6-7'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Telecommunications and Information Administration (6-60),[budget] National Telecommunications and Information Administration (6-60),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 60, 'bureau_name': 'National Telecommunications and Information Administration', '2019': 1466000, '2020': 1508000, '2021': 1506000, '2022': 1068000, '2023': 1478000, '2024': 2644000, 'name': 'National Telecommunications and Information Administration', 'id': '6-60'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] National Telecommunications and Information Administration (6-60)/[budget] Broadband Equity, Access, and Deployment Program (6-60-562)","[budget] Broadband Equity, Access, and Deployment Program (6-60-562)","{'budget_level': 'account', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 60, 'bureau_name': 'National Telecommunications and Information Administration', 'account_code': 562, 'account_name': 'Broadband Equity, Access, and Deployment Program', '2019': 0, '2020': 0, '2021': 0, '2022': 36000, '2023': 182000, '2024': 1731000, 'name': 'Broadband Equity, Access, and Deployment Program', 'id': '6-60-562'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] International Trade Administration (6-25),[budget] International Trade Administration (6-25),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 25, 'bureau_name': 'International Trade Administration', '2019': 466000, '2020': 506000, '2021': 525000, '2022': 542000, '2023': 583000, '2024': 653000, 'name': 'International Trade Administration', 'id': '6-25'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Minority Business Development Agency (6-40),[budget] Minority Business Development Agency (6-40),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 40, 'bureau_name': 'Minority Business Development Agency', '2019': 37000, '2020': 42000, '2021': 49000, '2022': 56000, '2023': 64000, '2024': 111000, 'name': 'Minority Business Development Agency', 'id': '6-40'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] Bureau of Industry and Security (6-30),[budget] Bureau of Industry and Security (6-30),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 30, 'bureau_name': 'Bureau of Industry and Security', '2019': 113000, '2020': 125000, '2021': 138000, '2022': 145000, '2023': 201000, '2024': 213000, 'name': 'Bureau of Industry and Security', 'id': '6-30'}"
/US FEDERAL GOVERNMENT/[budget] Department of Commerce (6)/[budget] U.S. Patent and Trademark Office (6-51),[budget] U.S. Patent and Trademark Office (6-51),"{'budget_level': 'bureau', 'agency_code': 6, 'agency_name': 'Department of Commerce', 'bureau_code': 51, 'bureau_name': 'U.S. Patent and Trademark Office', '2019': -79000, '2020': -265000, '2021': -75000, '2022': -367000, '2023': -62000, '2024': 260000, 'name': 'U.S. Patent and Trademark Office', 'id': '6-51'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1),[budget] Legislative Branch (1),"{'budget_level': 'agency', 'agency_code': 1, 'agency_name': 'Legislative Branch', '2019': 4961000, '2020': 5369000, '2021': 5271000, '2022': 5750000, '2023': 7289000, '2024': 7427000, 'name': 'Legislative Branch', 'id': '1'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] United States Tax Court (1-40),[budget] United States Tax Court (1-40),"{'budget_level': 'bureau', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 40, 'bureau_name': 'United States Tax Court', '2019': 51000, '2020': 55000, '2021': 56000, '2022': 57000, '2023': 60000, '2024': 72000, 'name': 'United States Tax Court', 'id': '1-40'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] House of Representatives (1-10),[budget] House of Representatives (1-10),"{'budget_level': 'bureau', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 10, 'bureau_name': 'House of Representatives', '2019': 1364000, '2020': 1475000, '2021': 1483000, '2022': 1673000, '2023': 1781000, '2024': 1993000, 'name': 'House of Representatives', 'id': '1-10'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Government Publishing Office (1-30),[budget] Government Publishing Office (1-30),"{'budget_level': 'bureau', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 30, 'bureau_name': 'Government Publishing Office', '2019': 85000, '2020': 132000, '2021': 6000, '2022': 80000, '2023': 159000, '2024': 185000, 'name': 'Government Publishing Office', 'id': '1-30'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Government Publishing Office (1-30)/[budget] Government Publishing Office Business Operations Revolving (1-30-4505),[budget] Government Publishing Office Business Operations Revolving (1-30-4505),"{'budget_level': 'account', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 30, 'bureau_name': 'Government Publishing Office', 'account_code': 4505, 'account_name': 'Government Publishing Office Business Operations Revolving', '2019': -16000, '2020': 30000, '2021': -89000, '2022': -25000, '2023': 46000, '2024': 62000, 'name': 'Government Publishing Office Business Operations Revolving', 'id': '1-30-4505'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Office of Congressional Workplace Rights (1-12),[budget] Office of Congressional Workplace Rights (1-12),"{'budget_level': 'bureau', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 12, 'bureau_name': 'Office of Congressional Workplace Rights', '2019': 5000, '2020': 9000, '2021': 7000, '2022': 6000, '2023': 12000, '2024': 10000, 'name': 'Office of Congressional Workplace Rights', 'id': '1-12'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Legislative Branch Boards and Commissions (1-45),[budget] Legislative Branch Boards and Commissions (1-45),"{'budget_level': 'bureau', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 45, 'bureau_name': 'Legislative Branch Boards and Commissions', '2019': 85000, '2020': 70000, '2021': 50000, '2022': 38000, '2023': 44000, '2024': 48000, 'name': 'Legislative Branch Boards and Commissions', 'id': '1-45'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Legislative Branch Boards and Commissions (1-45)/[budget] World War I Centennial Commission (1-45-5589),[budget] World War I Centennial Commission (1-45-5589),"{'budget_level': 'account', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 45, 'bureau_name': 'Legislative Branch Boards and Commissions', 'account_code': 5589, 'account_name': 'World War I Centennial Commission', '2019': 0, '2020': 22000, '2021': 6000, '2022': 2000, '2023': 1000, '2024': 3000, 'name': 'World War I Centennial Commission', 'id': '1-45-5589'}"
/US FEDERAL GOVERNMENT/[budget] Legislative Branch (1)/[budget] Legislative Branch Boards and Commissions (1-45)/[budget] United States Semiquincentennial Commission (1-45-2780),[budget] United States Semiquincentennial Commission (1-45-2780),"{'budget_level': 'account', 'agency_code': 1, 'agency_name': 'Legislative Branch', 'bureau_code': 45, 'bureau_name': 'Legislative Branch Boards and Commissions', 'account_code': 2780, 'account_name': 'United States Semiquincentennial Commission', '2019': 0, '2020': 2000, '2021': 8000, '2022': 7000, '2023': 8000, '2024': 17000, 'name': 'United States Semiquincentennial Commission', 'id': '1-45-2780'}"
